model,policy,pressure,workload,trace,requests,ok,failed,prompt_tokens,cached_tokens,hit_rate,completion_tokens,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,wall_sec,requests_per_sec,tokens_per_sec
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,smoke,w1,/root/kv-cache/traces/w1_smoke_seed20260708.jsonl,24,24,0,6792,4634,0.6822732626619552,24,40.833014994859695,119.12057511508465,155.11558551341295,40.833014994859695,119.12057511508465,155.11558551341295,1.499816656112671,16.001955907200596,4544.55547764497
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,smoke,w2,/root/kv-cache/traces/w2_smoke_seed20260708.jsonl,32,32,0,10952,6290,0.5743243243243243,1536,982.0915684103966,984.9489469081163,985.1802353933454,982.0915684103966,984.9489469081163,985.1802353933454,31.248711824417114,1.024042212677575,399.6324734974236
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,smoke,w3,/root/kv-cache/traces/w3_smoke_seed20260708.jsonl,60,60,0,14894,9777,0.6564388344299718,1920,642.4401421099901,719.2371662706137,744.9071748927236,642.4401421099901,719.2371662706137,744.9071748927236,39.43070936203003,1.5216566217238094,426.4189072944022
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,smoke,w4,/root/kv-cache/traces/w4_smoke_seed20260708.jsonl,60,60,0,21584,9255,0.4287898443291327,1888,644.4476116448641,723.6427221447229,1111.8833986669779,644.4476116448641,723.6427221447229,1111.8833986669779,40.510072469711304,1.48111312426955,579.411454214248
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,smoke,w1,/root/kv-cache/traces/w1_smoke_seed20260708.jsonl,24,24,0,6792,4634,0.6822732626619552,24,40.89631326496601,120.35663425922394,156.60868406295776,40.89631326496601,120.35663425922394,156.60868406295776,1.5083398818969727,15.911533128605111,4518.875408523852
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,smoke,w2,/root/kv-cache/traces/w2_smoke_seed20260708.jsonl,32,32,0,10952,6290,0.5743243243243243,1536,980.8925092220306,984.7780618816614,985.2175242453814,980.8925092220306,984.7780618816614,985.2175242453814,31.25066590309143,1.023978180152457,399.6074848044963
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,smoke,w3,/root/kv-cache/traces/w3_smoke_seed20260708.jsonl,60,60,0,14894,9777,0.6564388344299718,1920,642.6085066050291,719.9235714972019,743.8723853975534,642.6085066050291,719.9235714972019,743.8723853975534,39.46477293968201,1.5203432208188312,426.05084858079715
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,smoke,w4,/root/kv-cache/traces/w4_smoke_seed20260708.jsonl,60,60,0,21584,9255,0.4287898443291327,1888,644.016943871975,723.1445118784904,1111.5218737348914,644.016943871975,723.1445118784904,1111.5218737348914,40.48119926452637,1.482169527832589,579.8247192881089
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,smoke,w1,/root/kv-cache/traces/w1_smoke_seed20260708.jsonl,24,24,0,6792,4634,0.6822732626619552,24,41.433196514844894,118.58788691461086,153.66101335734126,41.433196514844894,118.58788691461086,153.66101335734126,1.509028673171997,15.904270360583475,4516.8127824057065
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,smoke,w2,/root/kv-cache/traces/w2_smoke_seed20260708.jsonl,32,32,0,10952,6290,0.5743243243243243,1536,981.6989228129387,983.1088244915009,984.0042842552066,981.6989228129387,983.1088244915009,984.0042842552066,31.24438190460205,1.024184126852151,399.6878555040519
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,smoke,w3,/root/kv-cache/traces/w3_smoke_seed20260708.jsonl,60,60,0,14894,9777,0.6564388344299718,1920,642.420120537281,719.0637685358524,744.9616155400872,642.420120537281,719.0637685358524,744.9616155400872,39.4407114982605,1.5212707306927324,426.31076776446
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,smoke,w4,/root/kv-cache/traces/w4_smoke_seed20260708.jsonl,60,60,0,21584,9255,0.4287898443291327,1888,644.1675629466772,724.0189969539642,1111.668804474175,644.1675629466772,724.0189969539642,1111.668804474175,40.493916511535645,1.4817040476415164,579.6426234373612
