model,policy,pressure,workload,trace,requests,ok,failed,prompt_tokens,cached_tokens,hit_rate,completion_tokens,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,wall_sec,requests_per_sec,tokens_per_sec
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w4,/root/kv-cache/traces/w4_pressure_seed20260708.jsonl,500,500,0,320462,71449,0.22295623194013642,15776,679.6196736395359,739.1917861998081,3196.882974244654,679.6196736395359,739.1917861998081,3196.882974244654,375.38793087005615,1.3319554489701466,895.7080725016483
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lfu,medium,w4,/root/kv-cache/traces/w4_pressure_seed20260708.jsonl,500,500,0,320462,89636,0.2797086706068114,15776,646.348724141717,738.8737425208092,3196.956196986139,646.348724141717,738.8737425208092,3196.956196986139,370.4114761352539,1.3498501861141783,907.7418537573182
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,medium,w4,/root/kv-cache/traces/w4_pressure_seed20260708.jsonl,500,500,0,320462,71160,0.22205440894708264,15776,681.7190572619438,738.7829180806875,3195.7981921732426,681.7190572619438,738.7829180806875,3195.7981921732426,375.5525722503662,1.3313715227775609,895.315396151363
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,medium,w4,/root/kv-cache/traces/w4_pressure_seed20260708.jsonl,500,500,0,320462,71449,0.22295623194013642,15776,678.768077865243,738.3942291140556,3194.3940475955606,678.768077865243,738.3942291140556,3194.3940475955606,375.11182045936584,1.332935867997161,896.3673807672587
