model,policy,pressure,workload,trace,requests,ok,failed,prompt_tokens,cached_tokens,hit_rate,completion_tokens,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,wall_sec,requests_per_sec,tokens_per_sec
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w4,/root/kv-cache/traces/w4_main_seed20260708.jsonl,500,500,0,300932,97554,0.32417290284848405,15856,645.4001925885677,723.7803984433413,4945.918173380196,645.4001925885677,723.7803984433413,4945.918173380196,368.2057263851166,1.3579365125816543,860.3559838954342
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,medium,w4,/root/kv-cache/traces/w4_main_seed20260708.jsonl,500,500,0,300932,96543,0.32081333989073946,15856,645.0338568538427,724.0050055086613,4951.3922334089875,645.0338568538427,724.0050055086613,4951.3922334089875,368.20814847946167,1.3579275799972947,860.350324424366
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,medium,w4,/root/kv-cache/traces/w4_main_seed20260708.jsonl,500,500,0,300932,97554,0.32417290284848405,15856,644.9002996087074,723.5147081315517,4948.894847594201,644.9002996087074,723.5147081315517,4948.894847594201,367.70065236091614,1.3598017756825342,861.5377698298373
