policy,pressure,workload,scan_count,hot_revisit_rows,ok,failed,prompt_tokens,cached_tokens,hit_rate,cached_tokens_mean,cached_tokens_p50,cached_tokens_p90,hit_rate_mean,hit_rate_p50,hit_rate_p90,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms
2q,medium,w4,14,438,438,0,136814,62117,0.4540251728624264,141.81963470319636,3.0,363.0,0.4522755141723823,0.013215859030837005,0.935,681.9730438292027,737.6011557877064,741.1895656585693
lfu,medium,w4,14,438,438,0,136814,80304,0.5869574751121961,183.34246575342465,234.0,363.0,0.5863471268123207,0.898876404494382,0.935,646.3538892567158,737.2775238007307,741.2549145147204
lru,medium,w4,14,438,438,0,136814,61828,0.4519128159398892,141.15981735159818,3.0,363.0,0.450250963225781,0.013215859030837005,0.935,683.4598276764154,738.0758035928011,740.4857821762562
slru,medium,w4,14,438,438,0,136814,62117,0.4540251728624264,141.81963470319636,3.0,363.0,0.4522755141723823,0.013215859030837005,0.935,681.3427824527025,737.0976824313402,740.2795096859336
