source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,29,w4-hot-000076,True,299,273,0.9130434782608695,642.9475098848343,642.9475098848343
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,30,w4-hot-000077,True,332,306,0.9216867469879518,642.3718929290771,642.3718929290771
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,31,w4-hot-000078,True,365,339,0.9287671232876712,641.4510644972324,641.4510644972324
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000000,32,w4-hot-000079,True,399,373,0.9348370927318296,643.7429822981358,643.7429822981358
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,1,w4-hot-000080,True,194,0,0.0,681.3927963376045,681.3927963376045
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,2,w4-hot-000081,True,226,2,0.008849557522123894,683.6523413658142,683.6523413658142
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,3,w4-hot-000082,True,258,2,0.007751937984496124,688.1268657743931,688.1268657743931
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,4,w4-hot-000083,True,290,2,0.006896551724137931,720.0973778963089,720.0973778963089
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,5,w4-hot-000084,True,322,2,0.006211180124223602,721.353068947792,721.353068947792
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,6,w4-hot-000085,True,354,2,0.005649717514124294,721.9422534108162,721.9422534108162
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,7,w4-hot-000086,True,387,2,0.00516795865633075,735.0986041128635,735.0986041128635
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,8,w4-hot-000087,True,420,2,0.004761904761904762,737.3480461537838,737.3480461537838
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,9,w4-hot-000088,True,453,2,0.004415011037527594,737.6841902732849,737.6841902732849
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,10,w4-hot-000089,True,194,2,0.010309278350515464,681.1921261250973,681.1921261250973
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,11,w4-hot-000090,True,233,3,0.012875536480686695,688.851248472929,688.851248472929
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,12,w4-hot-000091,True,266,3,0.011278195488721804,719.4894552230835,719.4894552230835
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,13,w4-hot-000092,True,299,3,0.010033444816053512,721.5381301939487,721.5381301939487
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,14,w4-hot-000093,True,332,3,0.009036144578313253,721.2145403027534,721.2145403027534
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,15,w4-hot-000094,True,365,3,0.00821917808219178,722.0227271318436,722.0227271318436
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,16,w4-hot-000095,True,399,3,0.007518796992481203,736.3131120800972,736.3131120800972
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,17,w4-hot-000096,True,194,169,0.8711340206185567,643.9823098480701,643.9823098480701
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,18,w4-hot-000097,True,226,201,0.8893805309734514,641.4210833609104,641.4210833609104
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,19,w4-hot-000098,True,258,233,0.9031007751937985,643.2436294853687,643.2436294853687
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,20,w4-hot-000099,True,290,265,0.9137931034482759,642.7018456161022,642.7018456161022
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,21,w4-hot-000100,True,323,297,0.9195046439628483,642.8147405385971,642.8147405385971
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,22,w4-hot-000101,True,355,329,0.9267605633802817,642.0756988227367,642.0756988227367
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,23,w4-hot-000102,True,388,362,0.9329896907216495,643.3746814727783,643.3746814727783
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,24,w4-hot-000103,True,421,395,0.9382422802850356,643.2580761611462,643.2580761611462
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,25,w4-hot-000104,True,454,428,0.9427312775330396,643.0890895426273,643.0890895426273
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,26,w4-hot-000105,True,195,169,0.8666666666666667,642.8679525852203,642.8679525852203
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,27,w4-hot-000106,True,234,207,0.8846153846153846,642.3950269818306,642.3950269818306
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,28,w4-hot-000107,True,267,240,0.898876404494382,643.3603316545486,643.3603316545486
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,29,w4-hot-000108,True,300,273,0.91,643.1750804185867,643.1750804185867
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,30,w4-hot-000109,True,333,306,0.918918918918919,642.8434923291206,642.8434923291206
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,31,w4-hot-000110,True,366,339,0.9262295081967213,643.6003930866718,643.6003930866718
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000001,32,w4-hot-000111,True,400,373,0.9325,642.9404988884926,642.9404988884926
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,1,w4-hot-000112,True,195,2,0.010256410256410256,682.9959638416767,682.9959638416767
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,2,w4-hot-000113,True,227,3,0.013215859030837005,684.4377405941486,684.4377405941486
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,3,w4-hot-000114,True,259,2,0.007722007722007722,719.939298927784,719.939298927784
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,4,w4-hot-000115,True,291,2,0.006872852233676976,722.6420193910599,722.6420193910599
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,5,w4-hot-000116,True,323,2,0.006191950464396285,722.4628329277039,722.4628329277039
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,6,w4-hot-000117,True,355,2,0.005633802816901409,723.0181023478508,723.0181023478508
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,7,w4-hot-000118,True,388,2,0.005154639175257732,737.5655695796013,737.5655695796013
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,8,w4-hot-000119,True,421,2,0.004750593824228029,736.536230891943,736.536230891943
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,9,w4-hot-000120,True,454,2,0.004405286343612335,738.8918362557888,738.8918362557888
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,10,w4-hot-000121,True,195,2,0.010256410256410256,683.3054982125759,683.3054982125759
