workload,trace,policy,pool_size,requests,prompt_tokens,cached_tokens,hit_rate,insert_prefix_hits,evict_calls,evicted_tokens,final_cache_tokens,max_cache_tokens,elapsed_sec
w3,w3_main_seed20260708,lru,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,3.903948244999924
w3,w3_main_seed20260708,lfu,10000,2500,743540,495917,0.6669674798934825,495917,1064,237714,9909,9999,0.5970354910000424
w3,w3_main_seed20260708,lfu,45000,2500,743540,634801,0.8537550098178982,634801,1690,63760,44979,44999,2.257164286000034
w3,w3_main_seed20260708,lfu,90000,2500,743540,639067,0.8594924281141566,639067,473,14490,89983,89983,4.4628104130000565
w3,w3_main_seed20260708,lfu,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,4.170714998999983
w3,w3_main_seed20260708,fifo,10000,2500,743540,443833,0.5969187938779352,443833,1099,289886,9821,9999,0.7638530870000295
w3,w3_main_seed20260708,fifo,45000,2500,743540,626559,0.8426701993167819,626559,1456,71984,44997,44999,2.410634697999967
w3,w3_main_seed20260708,fifo,90000,2500,743540,639067,0.8594924281141566,639067,473,14490,89983,89983,4.208879606999972
w3,w3_main_seed20260708,fifo,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,4.464525920000028
w3,w3_main_seed20260708,slru,10000,2500,743540,495917,0.6669674798934825,495917,1064,237714,9909,9999,0.6374339569999847
w3,w3_main_seed20260708,slru,45000,2500,743540,634801,0.8537550098178982,634801,1690,63760,44979,44999,2.358231907000004
w3,w3_main_seed20260708,slru,90000,2500,743540,639067,0.8594924281141566,639067,473,14490,89983,89983,4.364734449000025
w3,w3_main_seed20260708,slru,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,3.9892412949999425
w3,w3_main_seed20260708,2q,10000,2500,743540,488085,0.6564340855905533,488085,988,245660,9795,9999,0.7123970259999624
w3,w3_main_seed20260708,2q,45000,2500,743540,634277,0.853050273018264,634277,1680,64284,44979,44999,2.342084984000053
w3,w3_main_seed20260708,2q,90000,2500,743540,639067,0.8594924281141566,639067,473,14490,89983,89983,4.054414270999928
w3,w3_main_seed20260708,2q,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,3.7622965769999155
w4,w4_main_seed20260708,lru,10000,2550,995940,360375,0.36184408699319237,360375,680,627276,8289,9999,0.6689826120000362
w4,w4_main_seed20260708,lru,45000,2550,995940,564644,0.566945799947788,564644,402,387126,44170,45000,1.3472547000000077
w4,w4_main_seed20260708,lru,90000,2550,995940,617714,0.6202321424985441,617714,705,288462,89764,90000,2.079176296000014
w4,w4_main_seed20260708,lru,180000,2550,995940,636818,0.6394140209249554,636818,195,179183,179939,179997,3.2224542810000685
