workload,trace,policy,pool_size,requests,prompt_tokens,cached_tokens,hit_rate,insert_prefix_hits,evict_calls,evicted_tokens,final_cache_tokens,max_cache_tokens,elapsed_sec
w3,w3_main_seed20260708,fifo,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,4.024125258999959
w3,w3_main_seed20260708,slru,10000,2500,743540,495917,0.6669674798934825,495917,1064,237714,9909,9999,0.5938295660000108
w3,w3_main_seed20260708,slru,45000,2500,743540,634801,0.8537550098178982,634801,1690,63760,44979,44999,2.1673624499999846
w3,w3_main_seed20260708,slru,90000,2500,743540,639067,0.8594924281141566,639067,473,14490,89983,89983,4.154038519000039
w3,w3_main_seed20260708,slru,180000,2500,743540,639067,0.8594924281141566,639067,0,0,104473,104473,3.9348780159999706
w4,w4_main_seed20260708,lru,10000,2550,995940,360375,0.36184408699319237,360375,680,627276,8289,9999,0.718564678000007
w4,w4_main_seed20260708,lru,45000,2550,995940,564644,0.566945799947788,564644,402,387126,44170,45000,1.318606774999978
w4,w4_main_seed20260708,lru,90000,2550,995940,617714,0.6202321424985441,617714,705,288462,89764,90000,2.1250264820000098
w4,w4_main_seed20260708,lru,180000,2550,995940,636818,0.6394140209249554,636818,195,179183,179939,179997,3.224998363999987
w4,w4_main_seed20260708,lfu,10000,2550,995940,494157,0.49617145611181396,494157,847,491906,9877,9999,0.7836909760000026
w4,w4_main_seed20260708,lfu,45000,2550,995940,613912,0.6164146434524168,613912,788,340918,41110,45000,1.305382011000006
w4,w4_main_seed20260708,lfu,90000,2550,995940,632146,0.6347229752796353,632146,403,275227,88567,90000,2.023979729999951
w4,w4_main_seed20260708,lfu,180000,2550,995940,638496,0.6410988613771914,638496,406,177457,179987,179997,3.5877048719999607
w4,w4_main_seed20260708,fifo,10000,2550,995940,360557,0.36202682892543725,360557,673,627124,8259,9999,0.745561538000004
w4,w4_main_seed20260708,fifo,45000,2550,995940,565264,0.5675683274092816,565264,358,386656,44020,45000,1.3348124169999664
w4,w4_main_seed20260708,fifo,90000,2550,995940,617714,0.6202321424985441,617714,621,288242,89984,90000,2.055728474000034
w4,w4_main_seed20260708,fifo,180000,2550,995940,636818,0.6394140209249554,636818,59,179363,179759,179991,3.2089506410000013
w4,w4_main_seed20260708,slru,10000,2550,995940,494157,0.49617145611181396,494157,847,491906,9877,9999,0.7838413079999782
w4,w4_main_seed20260708,slru,45000,2550,995940,613912,0.6164146434524168,613912,788,340918,41110,45000,1.300977199999977
w4,w4_main_seed20260708,slru,90000,2550,995940,632146,0.6347229752796353,632146,403,275227,88567,90000,2.161064891999956
w4,w4_main_seed20260708,slru,180000,2550,995940,638496,0.6410988613771914,638496,406,177457,179987,179997,3.4192711970000005
